Tempo,Memória,Valor,Algoritmo,Arquivo
0.0741512,216,4928682,sequentialV2,500000.txt
0.0067321,216,469752,sequentialV2,50000.txt
0.0000194,216,3272,sequentialV2,1000.txt
0.0000010,160,93,sequentialV2,20.txt
0.0000094,216,2643,sequentialV2,500.txt
0.0000009,160,63,sequentialV2,10.txt
0.0136713,216,946382,sequentialV2,1000000.txt
0.0012598,216,87863,sequentialV2,10000.txt
0.0000030,160,772,sequentialV2,100.txt
0.9834583,216,66875203,sequentialV2,10000000.txt
0.0095466,216,663593,sequentialV2,100000.txt
0.0000424,216,4882,sequentialV2,5000.txt
0.0000017,160,323,sequentialV2,200.txt
