Tempo,Memória,Valor,Algoritmo,Arquivo
0.0000000,200,12,sequentialV2,100.txt
0.0001000,200,46,sequentialV2,1000.txt
0.0026501,284,8493,sequentialV2,10000.txt
0.0404757,284,89103,sequentialV2,100000.txt
0.8069338,284,867667,sequentialV2,1000000.txt
9.1121131,284,1074555,sequentialV2,10000000.txt
28.3052588,284,99981281,sequentialV2,100000000.txt
0.0001000,200,178,sequentialV2,200.txt
0.0002500,284,1335,sequentialV2,2000.txt
0.0028002,284,437,sequentialV2,5000.txt
0.0299500,284,12201,sequentialV2,50000.txt
0.0278497,284,342022,sequentialV2,500000.txt
0.6922012,284,542877,sequentialV2,5000000.txt
